Source;Target
AB.BB.004;TL.HH.003
AB.BB.005;AB.BB.003
AB.BB.005;AB.CC.003
AB.BB.005;AB.DD.002
AB.BB.005;HB.AA.008
AB.BB.005;HB.AA.009
AB.BB.005;KD.JJ.007
AB.BB.005;TS.AA.005
AB.BB.006;AB.BB.003
AB.BB.006;AB.BB.007
AB.BB.006;AB.BB.008
AB.BB.006;AB.BB.009
AB.BB.006;AB.BB.010
AB.BB.006;LD.AA.009
AB.BB.006;LD.GG.002
AB.BB.006;TL.BB.003
AB.BB.006;TL.HH.003
AB.BB.007;AB.BB.006
AB.BB.007;AB.BB.008
AB.BB.007;AB.DD.006
AB.BB.007;BC.AA.000
AB.BB.007;KD.GG.006
AB.BB.007;PS.JJ.003
AB.BB.008;AB.BB.002
AB.BB.008;AB.BB.003
AB.BB.008;AB.BB.005
AB.BB.008;AB.BB.006
AB.BB.008;AB.BB.007
AB.BB.008;AB.BB.009
AB.BB.008;AB.CC.002
AB.BB.008;AB.DD.006
AB.BB.008;HB.AA.008
AB.BB.008;HB.AA.009
AB.BB.008;IS.CC.005
AB.BB.008;KD.DD.002
AB.BB.008;PS.GG.008
AB.BB.008;PS.HH.003
AB.BB.008;TL.DD.005
AB.BB.009;AB.BB.008
AB.BB.009;AB.DD.004
AB.BB.009;AB.DD.005
AB.BB.009;AB.DD.008
AB.BB.009;AB.FF.002
AB.BB.009;AB.GG.004
AB.BB.009;BD.II.002
AB.BB.009;BM.AA.007
AB.BB.009;BM.AA.014
AB.BB.009;KD.DD.002
AB.BB.009;TL.EE.007
AB.BB.009;TL.EE.008
AB.BB.009;TL.EE.011
AB.BB.009;TS.AA.011
AB.BB.010;AB.BB.005
AB.BB.010;AB.GG.003
AB.BB.010;BD.JJ.002
AB.BB.010;BM.DD.006
AB.BB.010;KD.EE.002
AB.BB.010;MS.BB.001
AB.BB.010;SI.AA.001
AB.BB.010;TL.DD.002
AB.BB.010;TL.GG.009
AB.BB.010;TL.HH.004
AB.BB.010;TL.HH.008
AB.BB.010;TS.AA.005
AB.BB.010;TS.AA.010
AB.CC.001;AB.CC.002
AB.CC.001;AB.CC.005
AB.CC.001;AB.CC.006
AB.CC.001;AB.CC.007
AB.CC.001;DS.JJ.002
AB.CC.002;AB.BB.003
AB.CC.002;AB.BB.005
AB.CC.002;AB.CC.003
AB.CC.002;AB.DD.007
AB.CC.002;AB.FF.002
AB.CC.002;DS.JJ.002
AB.CC.002;HB.AA.002
AB.CC.002;KD.DD.003
AB.CC.002;KD.EE.002
AB.CC.002;KD.JJ.007
AB.CC.002;PS.EE.002
AB.CC.003;AB.BB.003
AB.CC.003;AB.BB.005
AB.CC.003;AB.BB.008
AB.CC.003;AB.CC.004
AB.CC.003;AB.CC.005
AB.CC.003;AB.CC.007
AB.CC.003;IS.CC.005
AB.CC.003;LD.BB.004
AB.CC.003;TL.CC.003
AB.CC.003;TL.DD.005
AB.CC.003;TS.AA.005
AB.CC.004;AB.BB.006
AB.CC.004;AB.CC.003
AB.CC.004;AB.CC.005
AB.CC.004;AB.FF.002
AB.CC.004;AB.GG.002
AB.CC.004;BM.AA.007
AB.CC.004;BM.BB.001
AB.CC.004;PS.FF.003
AB.CC.004;TS.AA.005
AB.CC.004;TS.AA.010
AB.CC.005;AB.BB.005
AB.CC.005;AB.CC.003
AB.CC.005;AB.CC.006
AB.CC.005;AB.DD.008
AB.CC.005;CH.AA.001
AB.CC.005;KD.BB.006
AB.CC.005;KD.JJ.004
AB.CC.005;KD.JJ.007
AB.CC.005;LD.CC.007
AB.CC.005;TL.II.009
AB.CC.005;TS.AA.000
AB.CC.005;TS.AA.005
AB.CC.005;TS.AA.006
AB.CC.006;AB.BB.005
AB.CC.006;AB.CC.005
AB.CC.006;AB.CC.007
AB.CC.007;AB.CC.003
AB.CC.007;BM.AA.008
AB.CC.007;BM.BB.001
AB.CC.007;HB.AA.008
AB.CC.007;KD.HH.003
AB.CC.007;KD.JJ.007
AB.CC.007;TL.DD.005
AB.CC.007;TL.EE.011
AB.CC.007;TS.AA.005
AB.DD.001;AB.DD.002
AB.DD.001;AB.DD.003
AB.DD.001;AB.DD.004
AB.DD.001;AB.DD.005
AB.DD.001;AB.DD.006
AB.DD.001;AB.DD.007
AB.DD.001;AB.DD.008
AB.DD.001;PS.GG.019
AB.DD.001;TL.LL.001
AB.DD.002;AB.BB.005
AB.DD.002;AB.DD.004
AB.DD.002;AB.DD.007
AB.DD.002;AB.DD.008
AB.DD.002;AB.GG.005
AB.DD.002;DS.BB.006
AB.DD.002;KD.GG.006
AB.DD.002;PS.FF.003
AB.DD.003;AB.DD.005
AB.DD.003;BD.AA.007
AB.DD.003;DS.BB.006
AB.DD.003;KD.GG.006
AB.DD.003;LD.GG.009
AB.DD.003;PS.JJ.003
AB.DD.004;AB.CC.003
AB.DD.004;AB.DD.005
AB.DD.004;AB.DD.007
AB.DD.004;AB.FF.002
AB.DD.004;DS.BB.001
AB.DD.004;DS.BB.002
AB.DD.004;LD.GG.001
AB.DD.004;TL.BB.004
AB.DD.005;AB.CC.002
AB.DD.005;AB.DD.002
AB.DD.005;AB.DD.004
AB.DD.005;AB.DD.007
AB.DD.005;AB.DD.008
AB.DD.005;AB.GG.004
AB.DD.005;BD.AA.004
AB.DD.005;BD.HH.005
AB.DD.005;BM.AA.000
AB.DD.005;BM.AA.006
AB.DD.005;DS.BB.006
AB.DD.005;DS.EE.001
AB.DD.005;KD.DD.003
AB.DD.005;PS.FF.003
AB.DD.005;PS.HH.004
AB.DD.005;SI.BB.001
AB.DD.005;TL.BB.004
AB.DD.005;TL.GG.002
AB.DD.005;TL.JJ.003
AB.DD.006;AB.BB.008
AB.DD.006;AB.DD.002
AB.DD.006;AB.DD.004
AB.DD.006;AB.DD.007
AB.DD.006;AB.EE.002
AB.DD.006;AB.GG.005
AB.DD.006;BM.AA.013
AB.DD.006;DS.BB.006
AB.DD.006;KD.GG.006
AB.DD.006;PS.GG.019
AB.DD.007;AB.DD.001
AB.DD.007;AB.DD.005
AB.DD.007;AB.DD.006
AB.DD.007;BD.HH.006
AB.DD.007;DS.BB.001
AB.DD.007;DS.BB.004
AB.DD.007;DS.HH.002
AB.DD.007;KD.GG.006
AB.DD.007;LD.GG.001
AB.DD.007;LD.GG.002
AB.DD.008;AB.BB.008
AB.DD.008;AB.DD.004
AB.DD.008;AB.DD.005
AB.DD.008;DS.BB.006
AB.DD.008;DS.EE.001
AB.DD.008;IS.CC.003
AB.DD.008;LD.GG.004
AB.DD.008;PS.CC.003
AB.DD.008;PS.HH.004
AB.DD.008;PS.II.009
AB.DD.008;PS.JJ.004
AB.DD.008;TL.EE.010
AB.EE.001;AB.DD.006
AB.EE.001;AB.EE.002
AB.EE.001;MR.AA.006
AB.EE.002;AB.DD.002
AB.EE.002;AB.DD.006
AB.EE.002;BD.HH.004
AB.EE.002;BD.HH.006
AB.EE.002;DS.BB.006
AB.EE.002;KD.GG.006
AB.EE.002;LD.GG.001
AB.EE.002;MR.AA.006
AB.FF.001;AB.AA.000
AB.FF.001;AB.DD.006
AB.FF.001;AB.FF.002
AB.FF.001;AB.FF.003
AB.FF.001;AB.FF.004
AB.FF.001;DS.AA.002
AB.FF.002;AB.AA.000
AB.FF.002;AB.BB.002
AB.FF.002;AB.DD.004
AB.FF.002;AB.DD.005
AB.FF.002;AB.DD.006
AB.FF.002;AB.DD.007
AB.FF.002;BD.BB.001
AB.FF.002;BD.CC.002
AB.FF.002;BD.HH.001
AB.FF.002;BD.II.002
AB.FF.002;DS.KK.003
AB.FF.002;LD.GG.001
AB.FF.002;TL.BB.000
AB.FF.003;AB.GG.004
AB.FF.003;DD.AA.001
AB.FF.003;QD.AA.000
AB.FF.004;AB.DD.001
AB.FF.004;BD.BB.001
AB.FF.004;QD.AA.000
AB.FF.004;TL.LL.005
AB.GG.002;AB.BB.009
AB.GG.002;BD.AA.007
AB.GG.002;MS.BB.001
AB.GG.002;SI.BB.002
AB.GG.002;TL.DD.002
AB.GG.002;TL.GG.003
AB.GG.002;TS.AA.005
AB.GG.002;TS.AA.009
AB.GG.003;AB.GG.002
AB.GG.003;BC.AA.001
AB.GG.003;KD.FF.010
AB.GG.003;MS.BB.001
AB.GG.003;TL.EE.009
AB.GG.003;TL.GG.009
AB.GG.003;TS.AA.005
AB.GG.004;AB.BB.008
AB.GG.004;BD.BB.001
AB.GG.004;BD.FF.004
AB.GG.004;BD.HH.001
AB.GG.004;CH.AA.000
AB.GG.004;DD.AA.001
AB.GG.004;DD.AA.005
AB.GG.004;DS.BB.001
AB.GG.004;HB.AA.000
AB.GG.004;KD.DD.002
AB.GG.004;KD.FF.003
AB.GG.004;KD.GG.001
AB.GG.004;KD.JJ.001
AB.GG.004;KD.JJ.009
AB.GG.004;KD.LL.002
AB.GG.004;LD.AA.000
AB.GG.004;MS.CC.001
AB.GG.004;PS.BB.009
AB.GG.004;PS.DD.007
AB.GG.004;PS.FF.003
AB.GG.004;PS.GG.019
AB.GG.004;QD.CC.003
AB.GG.004;SI.AA.010
AB.GG.004;TL.BB.003
AB.GG.004;TL.HH.004
AB.GG.005;AB.BB.001
AB.GG.005;AB.GG.004
AB.GG.005;BD.HH.003
AB.GG.005;BD.JJ.002
AB.GG.005;KD.AA.001
AB.GG.005;KD.AA.002
AB.GG.005;KD.JJ.009
AB.GG.005;LD.AA.000
AB.GG.005;TL.KK.001
AB.GG.006;AB.BB.003
AB.GG.006;AB.BB.007
AB.GG.006;AB.CC.004
AB.GG.006;BD.DD.005
AB.GG.006;CH.BB.002
AB.GG.006;FT.HH.001
AB.GG.006;HB.AA.015
AB.GG.006;KD.DD.002
AB.GG.006;KD.JJ.007
AB.GG.006;KD.JJ.008
AB.GG.006;KD.JJ.009
AB.GG.006;TS.AA.011
BA.AA.000;BA.AA.001
BA.AA.000;BA.AA.002
BA.AA.000;BA.AA.003
BA.AA.000;BA.AA.004
BA.AA.000;BA.AA.005
BA.AA.000;BM.CC.002
BA.AA.000;BM.CC.003
BA.AA.000;CH.AA.000
BA.AA.000;CH.AA.001
BA.AA.000;CH.AA.004
BA.AA.000;ER.EE.002
BA.AA.000;ER.EE.003
BA.AA.000;ER.EE.005
BA.AA.000;ER.EE.006
BA.AA.000;ER.EE.007
BA.AA.000;IS.BB.001
BA.AA.000;MR.AA.002
BA.AA.000;PS.CC.002
BA.AA.001;BA.AA.005
BA.AA.001;DS.FF.004
BA.AA.001;ER.BB.003
BA.AA.001;HB.AA.007
BA.AA.001;KD.JJ.002
BA.AA.001;KD.JJ.007
BA.AA.001;PS.BB.009
BA.AA.001;PS.GG.006
BA.AA.001;PS.II.007
BA.AA.001;SI.AA.001
BA.AA.001;TL.II.002
BA.AA.001;TL.II.007
BA.AA.001;TL.II.008
BA.AA.002;CH.BB.001
BA.AA.002;CH.BB.003
BA.AA.002;CH.BB.004
BA.AA.002;IS.CC.004
BA.AA.002;KD.JJ.004
BA.AA.002;PS.AA.000
BA.AA.002;TL.II.008
BA.AA.002;TL.II.010
BA.AA.003;BA.AA.002
BA.AA.003;IS.BB.002
BA.AA.003;MR.AA.002
BA.AA.003;PS.CC.003
BA.AA.003;PS.EE.002
BA.AA.003;TL.II.006
BA.AA.003;TL.II.007
BA.AA.003;TL.II.008
BA.AA.003;TL.II.009
BA.AA.004;BA.AA.000
BA.AA.004;BA.AA.003
BA.AA.004;CH.BB.003
BA.AA.004;CH.BB.005
BA.AA.004;CH.BB.006
BA.AA.004;IS.BB.003
BA.AA.004;IS.BB.004
BA.AA.004;IS.CC.004
BA.AA.004;KD.LL.003
BA.AA.004;PS.II.003
BA.AA.004;TL.II.002
BA.AA.004;TL.II.008
BA.AA.004;TL.II.012
BA.AA.004;TS.AA.011
BA.AA.005;BA.AA.003
BA.AA.005;BA.AA.004
BA.AA.005;ER.CC.001
BA.AA.005;IS.BB.010
BA.AA.005;IS.CC.004
BA.AA.005;KD.JJ.006
BA.AA.005;PS.CC.002
BA.AA.005;PS.EE.004
BA.AA.005;TL.II.002
BA.AA.005;TL.II.007
BA.AA.005;TS.AA.011
BC.AA.000;BC.AA.001
BC.AA.000;BC.AA.002
BC.AA.000;BC.AA.003
BC.AA.000;BC.AA.004
BC.AA.000;BC.AA.005
BC.AA.000;BC.AA.006
BC.AA.001;AB.BB.009
BC.AA.001;BC.AA.003
BC.AA.001;KD.HH.008
BC.AA.001;TL.BB.003
BC.AA.002;AB.BB.009
BC.AA.002;AB.DD.004
BC.AA.003;AB.BB.009
BC.AA.003;BC.AA.006
BC.AA.003;HB.AA.007
BC.AA.003;KD.DD.002
BC.AA.003;SI.AA.000
BC.AA.004;BC.AA.003
BC.AA.004;BC.AA.006
BC.AA.004;BM.AA.008
BC.AA.004;KD.DD.002
BC.AA.004;MR.AA.005
BC.AA.005;KD.HH.008
BC.AA.005;TL.EE.005
BC.AA.006;SI.AA.000
BD.AA.000;AB.EE.002
BD.AA.000;BD.AA.001
BD.AA.000;BD.AA.002
BD.AA.000;BD.AA.003
BD.AA.000;BD.AA.004
BD.AA.000;BD.AA.005
BD.AA.000;BD.AA.006
BD.AA.000;BD.AA.007
BD.AA.000;BD.AA.008
BD.AA.000;BD.AA.009
BD.AA.000;BD.AA.010
BD.AA.000;BD.BB.001
BD.AA.000;BD.GG.001
BD.AA.000;BD.GG.002
BD.AA.000;BD.GG.003
BD.AA.000;BD.GG.004
BD.AA.000;BD.HH.001
BD.AA.000;BD.HH.002
BD.AA.000;BD.HH.003
BD.AA.000;BD.HH.004
BD.AA.000;BD.HH.005
BD.AA.000;BD.HH.006
BD.AA.000;BD.HH.007
BD.AA.000;BD.II.002
BD.AA.000;BD.II.003
BD.AA.000;BD.II.004
BD.AA.000;BD.II.005
BD.AA.000;BD.II.006
BD.AA.000;CH.AA.000
BD.AA.000;CH.AA.002
BD.AA.001;AB.AA.000
BD.AA.001;AB.DD.001
BD.AA.001;AB.DD.007
BD.AA.001;AB.FF.001
BD.AA.001;BC.AA.000
BD.AA.001;BD.AA.000
BD.AA.001;BD.AA.005
BD.AA.001;BD.AA.006
BD.AA.001;BD.AA.007
BD.AA.001;BD.HH.001
BD.AA.001;BM.AA.000
BD.AA.001;BM.AA.008
BD.AA.001;DD.AA.000
BD.AA.001;DP.BB.001
BD.AA.001;DS.AA.002
BD.AA.001;ER.AA.000
BD.AA.001;FT.HH.001
BD.AA.001;HB.AA.000
BD.AA.001;HB.AA.002
BD.AA.001;HB.AA.007
BD.AA.001;HB.AA.013
BD.AA.001;HB.AA.014
BD.AA.001;HB.AA.016
BD.AA.001;HB.AA.018
BD.AA.001;KD.DD.001
BD.AA.001;KD.DD.002
BD.AA.001;KD.EE.001
BD.AA.001;KD.FF.001
BD.AA.001;KD.FF.003
BD.AA.001;LD.AA.000
BD.AA.001;LD.BB.001
BD.AA.001;LD.GG.001
BD.AA.001;LD.GG.003
BD.AA.001;LD.GG.004
BD.AA.001;LD.GG.009
BD.AA.001;MR.AA.000
BD.AA.001;MS.BB.001
BD.AA.001;PS.AA.000
BD.AA.001;PS.EE.001
BD.AA.001;PS.EE.002
BD.AA.001;PS.II.001
BD.AA.001;PS.JJ.001
BD.AA.001;SI.AA.000
BD.AA.001;SI.AA.001
BD.AA.001;SI.AA.002
BD.AA.001;SI.AA.005
BD.AA.001;SI.BB.001
BD.AA.001;TL.BB.000
BD.AA.001;TL.DD.001
BD.AA.001;TL.DD.006
BD.AA.001;TL.EE.001
BD.AA.001;TL.EE.012
BD.AA.001;TL.GG.001
BD.AA.001;TL.HH.001
BD.AA.001;TL.II.001
BD.AA.001;TS.AA.000
BD.AA.001;TS.AA.001
BD.AA.001;TS.AA.002
BD.AA.002;AB.AA.000
BD.AA.002;BC.AA.000
BD.AA.002;BD.AA.001
BD.AA.002;BD.AA.003
BD.AA.002;BD.AA.007
BD.AA.002;BD.HH.001
BD.AA.002;BD.JJ.003
BD.AA.002;BM.AA.000
BD.AA.002;CH.AA.000
BD.AA.002;DP.AA.000
BD.AA.002;DS.AA.002
BD.AA.002;DS.BB.001
BD.AA.002;DS.JJ.001
BD.AA.002;HB.AA.000
BD.AA.002;HB.AA.001
BD.AA.002;KD.AA.000
BD.AA.002;KD.EE.003
BD.AA.002;KD.FF.001
BD.AA.002;KD.GG.006
BD.AA.002;LD.AA.000
BD.AA.002;LD.CC.002
BD.AA.002;MS.CC.006
BD.AA.002;PD.BB.000
BD.AA.002;PS.AA.000
BD.AA.002;QD.AA.000
BD.AA.002;SI.AA.000
BD.AA.002;SI.CC.002
BD.AA.002;TL.AA.000
BD.AA.002;TL.BB.000
BD.AA.002;TL.CC.005
BD.AA.002;TL.GG.004
BD.AA.002;TS.AA.000
BD.AA.003;BD.AA.002
BD.AA.003;BD.AA.004
BD.AA.003;LD.AA.004
BD.AA.003;LD.EE.002
BD.AA.003;TL.BB.000
BD.AA.003;TL.CC.002
BD.AA.003;TL.DD.004
BD.AA.003;TL.GG.001
BD.AA.003;TL.HH.001
BD.AA.003;TL.II.001
BD.AA.004;BD.AA.003
BD.AA.004;BD.AA.005
BD.AA.004;BD.AA.007
BD.AA.004;BD.HH.001
BD.AA.004;DD.AA.001
BD.AA.004;DS.AA.002
BD.AA.004;DS.BB.001
BD.AA.004;DS.DD.001
BD.AA.004;HB.AA.000
BD.AA.004;KD.FF.001
BD.AA.004;KD.FF.005
BD.AA.004;PS.GG.016
BD.AA.004;TL.BB.003
BD.AA.004;TL.CC.002
BD.AA.005;AB.AA.000
BD.AA.005;BD.HH.004
BD.AA.005;BD.II.002
BD.AA.005;DS.BB.001
BD.AA.005;DS.JJ.005
BD.AA.005;DS.KK.005
BD.AA.005;HB.AA.013
BD.AA.005;HB.AA.014
BD.AA.005;HB.AA.016
BD.AA.005;MS.CC.006
BD.AA.005;PS.JJ.003
BD.AA.005;SI.CC.003
BD.AA.005;TL.EE.009
BD.AA.005;TL.GG.008
BD.AA.006;DP.AA.004
BD.AA.006;DS.BB.001
BD.AA.006;DS.KK.004
BD.AA.006;SI.AA.010
BD.AA.007;AB.DD.005
BD.AA.007;AB.DD.006
BD.AA.007;AB.DD.007
BD.AA.007;BD.CC.001
BD.AA.007;BD.II.004
BD.AA.007;BD.JJ.001
BD.AA.007;DS.HH.002
BD.AA.007;DS.KK.003
BD.AA.007;KD.DD.003
BD.AA.007;KD.GG.006
BD.AA.007;MR.AA.008
BD.AA.007;PS.EE.002
BD.AA.007;PS.FF.003
BD.AA.007;PS.GG.016
BD.AA.007;TL.GG.003
BD.AA.008;AB.GG.005
BD.AA.008;BC.AA.000
BD.AA.008;BD.HH.003
BD.AA.008;BD.II.002
BD.AA.008;KD.GG.005
BD.AA.008;MR.AA.005
BD.AA.008;PS.JJ.003
BD.AA.008;TL.CC.002
BD.AA.008;TL.EE.004
BD.AA.009;BD.HH.001
BD.AA.009;BD.HH.007
BD.AA.009;KD.EE.004
BD.AA.009;KD.FF.003
BD.AA.009;MR.AA.006
BD.AA.009;TL.BB.004
BD.AA.009;TL.CC.005
BD.AA.009;TL.EE.003
BD.AA.009;TL.EE.006
BD.AA.009;TL.HH.004
BD.AA.009;TL.II.009
BD.AA.010;AB.BB.009
BD.AA.010;BM.AA.002
BD.AA.010;DS.KK.003
BD.AA.010;KD.DD.003
BD.AA.010;KD.GG.006
BD.AA.010;PS.AA.002
BD.AA.010;PS.HH.004
BD.AA.010;PS.JJ.003
BD.AA.010;TL.BB.004
BD.AA.010;TL.EE.006
BD.AA.010;TL.GG.002
BD.AA.010;TL.GG.007
BD.BB.001;BD.BB.002
BD.BB.001;BD.BB.003
BD.BB.001;BD.BB.004
BD.BB.001;BD.BB.005
BD.BB.001;BD.BB.006
BD.BB.001;BD.CC.001
BD.BB.001;BD.DD.001
BD.BB.001;BD.EE.001
BD.BB.001;LD.GG.004
BD.BB.002;AB.GG.004
BD.BB.002;QD.AA.001
BD.BB.003;BD.AA.007
BD.BB.003;BD.BB.001
BD.BB.003;BD.BB.002
BD.BB.003;DS.BB.001
BD.BB.003;DS.BB.002
BD.BB.004;BD.BB.003
BD.BB.004;DS.BB.006
BD.BB.004;KD.GG.006
BD.BB.004;PS.AA.000
BD.BB.004;TS.AA.006
BD.BB.005;BD.BB.004
BD.BB.005;IS.CC.005
BD.BB.005;LD.FF.004
BD.BB.005;PS.BB.004
BD.BB.005;PS.FF.003
BD.BB.005;PS.GG.008
BD.BB.005;SI.AA.012
BD.BB.005;TL.II.002
BD.BB.005;TS.AA.013
BD.BB.006;AB.DD.007
BD.BB.006;BD.BB.001
BD.BB.006;BD.BB.003
BD.BB.006;BD.BB.004
BD.BB.006;DS.BB.006
BD.BB.006;DS.FF.004
BD.BB.006;DS.HH.002
BD.BB.006;LD.GG.006
BD.BB.006;PS.DD.007
BD.CC.001;BD.CC.002
BD.CC.001;BD.CC.003
BD.CC.001;BD.CC.004
BD.CC.001;BD.CC.005
BD.CC.001;BD.CC.006
BD.CC.001;BD.CC.007
BD.CC.002;AB.BB.003
BD.CC.002;AB.FF.002
BD.CC.002;BD.BB.003
BD.CC.002;BD.BB.004
BD.CC.002;BD.BB.005
BD.CC.002;BD.BB.006
BD.CC.002;DS.BB.002
BD.CC.002;DS.BB.006
BD.CC.002;LD.GG.002
BD.CC.003;BD.BB.004
BD.CC.003;BD.CC.001
BD.CC.003;BD.CC.004
BD.CC.004;BD.BB.001
BD.CC.004;BD.CC.001
BD.CC.004;BD.CC.003
BD.CC.004;DS.BB.006
BD.CC.005;BD.BB.001
BD.CC.005;BD.CC.004
BD.CC.006;BD.AA.005
BD.CC.006;BD.BB.001
BD.CC.006;BD.BB.003
BD.CC.006;BD.BB.004
BD.CC.006;BD.CC.002
BD.CC.006;BD.CC.003
BD.CC.006;BD.CC.005
BD.CC.007;AB.GG.004
BD.CC.007;BD.AA.005
BD.CC.007;BD.CC.001
BD.CC.007;BD.FF.004
BD.CC.007;DS.BB.006
BD.CC.007;DS.BB.007
BD.CC.007;IS.CC.005
BD.CC.007;PS.GG.016
BD.DD.001;BD.DD.002
BD.DD.001;BD.DD.003
BD.DD.001;BD.DD.004
BD.DD.001;BD.DD.005
BD.DD.001;BD.DD.006
BD.DD.002;AB.DD.007
BD.DD.002;BD.AA.007
BD.DD.002;BD.CC.005
BD.DD.002;BD.CC.006
BD.DD.002;DS.KK.007
BD.DD.002;KD.KK.004
BD.DD.002;TL.DD.005
BD.DD.003;AB.BB.004
BD.DD.003;BD.BB.001
BD.DD.003;BD.CC.003
BD.DD.003;BD.CC.005
BD.DD.003;BD.DD.002
BD.DD.003;CH.AA.005
BD.DD.003;KD.BB.007
BD.DD.004;BD.BB.001
BD.DD.004;BD.BB.004
BD.DD.004;BD.CC.003
BD.DD.004;BD.CC.005
BD.DD.004;BD.CC.006
BD.DD.004;BD.DD.002
BD.DD.004;BD.DD.003
BD.DD.004;KD.JJ.007
BD.DD.005;BD.BB.001
BD.DD.005;BD.CC.001
BD.DD.005;BD.DD.004
BD.DD.005;DD.AA.002
BD.DD.005;PS.DD.005
BD.DD.005;TL.HH.003
BD.DD.006;BD.BB.001
BD.DD.006;BD.CC.001
BD.DD.006;BD.CC.003
BD.DD.006;BD.DD.005
BD.DD.006;KD.GG.006
BD.EE.001;BD.EE.002
BD.EE.001;BD.EE.003
BD.EE.001;BD.EE.004
BD.EE.001;BD.EE.005
BD.EE.001;ER.HH.001
BD.EE.001;HB.AA.002
BD.EE.002;BD.BB.001
BD.EE.002;BD.EE.001
BD.EE.002;DS.BB.001
BD.EE.002;DS.BB.009
BD.EE.002;DS.CC.002
BD.EE.002;DS.CC.003
BD.EE.002;MR.AA.000
BD.EE.003;BD.BB.001
BD.EE.003;BD.EE.001
BD.EE.003;BM.AA.007
BD.EE.003;HB.AA.002
BD.EE.003;HB.AA.007
BD.EE.003;PS.AA.007
BD.EE.003;SI.AA.001
BD.EE.004;AB.BB.001
BD.EE.004;BD.EE.001
BD.EE.004;BD.EE.003
BD.EE.004;BD.EE.005
BD.EE.004;DP.BB.006
BD.EE.004;ER.BB.002
BD.EE.004;SI.AA.003
BD.EE.004;SI.CC.001
BD.EE.005;AB.BB.001
BD.EE.005;BA.AA.000
BD.EE.005;BD.AA.005
BD.EE.005;BD.BB.003
BD.EE.005;BD.EE.001
BD.EE.005;BM.CC.001
BD.EE.005;BM.CC.003
BD.EE.005;DP.AA.005
BD.EE.005;HB.AA.007
BD.EE.005;LD.GG.001
BD.EE.005;LD.GG.003
BD.EE.005;LD.GG.004
BD.FF.002;BD.AA.007
BD.FF.002;DS.BB.006
BD.FF.002;KD.GG.006
BD.FF.002;PS.FF.003
BD.FF.002;TL.GG.004
BD.FF.003;AB.EE.002
BD.FF.003;BD.FF.002
BD.FF.003;DS.BB.006
BD.FF.003;DS.HH.002
BD.FF.003;LD.GG.003
BD.FF.003;TL.GG.004
BD.FF.004;AB.DD.006
BD.FF.004;BD.AA.007
BD.FF.004;BD.BB.001
BD.FF.004;BD.CC.007
BD.FF.004;BD.FF.003
BD.FF.004;DS.BB.001
BD.FF.004;DS.HH.002
BD.FF.004;DS.KK.001
BD.FF.004;DS.KK.008
BD.FF.004;ER.AA.000
BD.FF.004;ER.HH.001
BD.FF.004;HB.AA.002
